#p	a1_up	a1_dn	b1_up	b1_dn	c1_up	c1_dn	a2_up	a2_dn	b2_up	b2_dn	c2_up	c2_dn	NaN
143	-6.024097	-6.060241	11.372840	11.336695	8.447554	8.415701	-6.761176	-6.797320	10.635760	10.599616	7.375435	7.343582	
144	-5.932964	-5.969108	11.381953	11.345809	8.465780	8.433928	-6.770289	-6.806433	10.544628	10.508484	7.247849	7.215996	
145	-5.836266	-5.872411	11.391623	11.355478	8.485120	8.453267	-6.779959	-6.816103	10.447930	10.411786	7.112472	7.080620	
146	-5.734062	-5.770206	11.401843	11.365699	8.505561	8.473708	-6.790179	-6.826324	10.345725	10.309581	6.969386	6.937533	
147	-5.626412	-5.662556	11.412608	11.376464	8.527090	8.495238	-6.800944	-6.837089	10.238076	10.201931	6.818676	6.786824	
148	-5.513381	-5.549526	11.423911	11.387767	8.549696	8.517844	-6.812247	-6.848392	10.125045	10.088901	6.660434	6.628581	
149	-5.395039	-5.431183	11.435745	11.399601	8.573365	8.541512	-6.824082	-6.860226	10.006702	9.970558	6.494754	6.462902	
150	-5.271455	-5.307599	11.448104	11.411960	8.598081	8.566229	-6.836440	-6.872584	9.883119	9.846974	6.321737	6.289884	
151	-5.142704	-5.178849	11.460979	11.424835	8.623831	8.591979	-6.849315	-6.885459	9.754368	9.718224	6.141487	6.109634	
152	-5.008865	-5.045009	11.474363	11.438219	8.650599	8.618747	-6.862699	-6.898843	9.620529	9.584384	5.954111	5.922259	
153	-4.870017	-4.906161	11.488248	11.452103	8.678369	8.646516	-6.876584	-6.912728	9.481681	9.445536	5.759724	5.727871	
154	-4.726244	-4.762388	11.502625	11.466481	8.707123	8.675271	-6.890961	-6.927105	9.337908	9.301764	5.558442	5.526590	
155	-4.577633	-4.613777	11.517486	11.481342	8.736845	8.704993	-6.905822	-6.941966	9.189297	9.153153	5.350387	5.318534	
156	-4.424273	-4.460418	11.532822	11.496678	8.767517	8.735665	-6.921158	-6.957302	9.035937	8.999793	5.135683	5.103831	
157	-4.266257	-4.302402	11.548624	11.512479	8.799121	8.767268	-6.936960	-6.973104	8.877921	8.841777	4.914461	4.882608	
158	-4.103680	-4.139824	11.564881	11.528737	8.831636	8.799783	-6.953217	-6.989362	8.715344	8.679200	4.686853	4.655000	
159	-3.936640	-3.972784	11.581585	11.545441	8.865044	8.833191	-6.969922	-7.006066	8.548304	8.512159	4.452996	4.421144	
160	-3.765237	-3.801381	11.598726	11.562581	8.899325	8.867472	-6.987062	-7.023206	8.376901	8.340756	4.213032	4.181179	
161	-3.589574	-3.625719	11.616292	11.580148	8.934457	8.902604	-7.004628	-7.040772	8.201238	8.165094	3.967105	3.935252	
162	-3.409759	-3.445903	11.634273	11.598129	8.970420	8.938567	-7.022610	-7.058754	8.021422	7.985278	3.715363	3.683510	
163	-3.225897	-3.262042	11.652660	11.616515	9.007192	8.975340	-7.040996	-7.077140	7.837561	7.801417	3.457957	3.426104	
164	-3.038102	-3.074246	11.671439	11.635295	9.044751	9.012899	-7.059775	-7.095920	7.649766	7.613621	3.195043	3.163190	
165	-2.846485	-2.882629	11.690601	11.654457	9.083075	9.051222	-7.078937	-7.115081	7.458149	7.422005	2.926779	2.894927	
166	-2.651162	-2.687306	11.710133	11.673989	9.122139	9.090287	-7.098469	-7.134614	7.262826	7.226682	2.653327	2.621475	
167	-2.452251	-2.488395	11.730024	11.693880	9.161922	9.130069	-7.118360	-7.154505	7.063915	7.027771	2.374852	2.342999	
168	-2.249872	-2.286016	11.750262	11.714118	9.202397	9.170545	-7.138598	-7.174743	6.861535	6.825391	2.091521	2.059668	
169	-2.044145	-2.080290	11.770835	11.734691	9.243543	9.211690	-7.159171	-7.195315	6.655809	6.619665	1.803504	1.771651	
170	-1.835197	-1.871341	11.791730	11.755585	9.285332	9.253480	-7.180066	-7.216210	6.446861	6.410716	1.510976	1.479123	
171	-1.623151	-1.659296	11.812934	11.776790	9.327742	9.295889	-7.201270	-7.237415	6.234815	6.198671	1.214112	1.182259	
172	-1.408137	-1.444281	11.834436	11.798291	9.370744	9.338892	-7.222772	-7.258916	6.019801	5.983656	0.913092	0.881239	
173	-1.190283	-1.226427	11.856221	11.820077	9.414315	9.382462	-7.244557	-7.280702	5.801947	5.765802	0.608096	0.576243	
174	-0.969721	-1.005865	11.878277	11.842133	9.458428	9.426575	-7.266614	-7.302758	5.581384	5.545240	0.299309	0.267456	
175	-0.746583	-0.782727	11.900591	11.864447	9.503055	9.471202	-7.288927	-7.325072	5.358247	5.322102	-0.013084	-0.044937	
176	-0.521004	-0.557148	11.923149	11.887005	9.548171	9.516318	-7.311485	-7.347629	5.132668	5.096524	-0.328895	-0.360747	
177	-0.293120	-0.329265	11.945937	11.909793	9.593748	9.561895	-7.334274	-7.370418	4.904784	4.868640	-0.647932	-0.679785	
178	-0.063069	-0.099213	11.968943	11.932798	9.639758	9.607905	-7.357279	-7.393423	4.674733	4.638588	-0.970005	-1.001857	
179	0.169012	0.132868	11.992151	11.956006	9.686174	9.654322	-7.380487	-7.416631	4.442652	4.406507	-1.294918	-1.326771	
180	0.402983	0.366838	12.015548	11.979403	9.732968	9.701116	-7.403884	-7.440028	4.208681	4.172537	-1.622477	-1.654330	
181	0.638701	0.602557	12.039120	12.002975	9.780112	9.748260	-7.427456	-7.463600	3.972962	3.936818	-1.952484	-1.984337	
182	0.876027	0.839882	12.062852	12.026708	9.827577	9.795725	-7.451188	-7.487333	3.735637	3.699493	-2.284740	-2.316593	
183	1.114815	1.078671	12.086731	12.050587	9.875335	9.843483	-7.475067	-7.511212	3.496848	3.460704	-2.619045	-2.650898	
184	1.354923	1.318779	12.110742	12.074598	9.923357	9.891504	-7.499078	-7.535223	3.256740	3.220596	-2.955198	-2.987051	
185	1.596206	1.560062	12.134871	12.098726	9.971614	9.939761	-7.523207	-7.559351	3.015458	2.979314	-3.292996	-3.324849	
186	1.838517	1.802372	12.159102	12.122958	10.020077	9.988224	-7.547438	-7.583582	2.773147	2.737003	-3.632236	-3.664089	
187	2.081703	2.045559	12.183422	12.147277	10.068716	10.036864	-7.571758	-7.607902	2.529961	2.493817	-3.972713	-4.004566	
188	2.325909	2.289764	12.207815	12.171671	10.117503	10.085651	-7.596151	-7.632296	2.285755	2.249611	-4.314223	-4.346075	
189	2.570205	2.534061	12.232268	12.196124	10.166409	10.134556	-7.620604	-7.656748	2.041459	2.005315	-4.656559	-4.688411	
190	2.815165	2.779021	12.256765	12.220620	10.215402	10.183550	-7.645101	-7.681245	1.796499	1.760355	-4.999515	-5.031368	
191	3.060426	3.024282	12.281291	12.245147	10.264455	10.232603	-7.669627	-7.705772	1.551238	1.515093	-5.342885	-5.374738	
192	3.305837	3.269693	12.305832	12.269688	10.313538	10.281685	-7.694169	-7.730313	1.305827	1.269683	-5.686463	-5.718315	
193	3.551248	3.515104	12.330374	12.294229	10.362620	10.330767	-7.718710	-7.754854	1.060416	1.024271	-6.030040	-6.061892	
194	3.796512	3.760368	12.354900	12.318756	10.411673	10.379820	-7.743236	-7.779381	0.815152	0.779008	-6.373410	-6.405263	
195	4.041480	4.005336	12.379397	12.343253	10.460667	10.428814	-7.767733	-7.803877	0.570183	0.534039	-6.716366	-6.748219	
196	4.286006	4.249862	12.403850	12.367705	10.509572	10.477719	-7.792186	-7.828330	0.325658	0.289514	-7.058703	-7.090555	
197	4.529941	4.493797	12.428243	12.392099	10.558359	10.526506	-7.816579	-7.852724	0.081723	0.045579	-7.400212	-7.432065	
198	4.773139	4.736994	12.452563	12.416419	10.606999	10.575146	-7.840899	-7.877043	-0.161475	-0.197619	-7.740689	-7.772542	
199	5.015453	4.979308	12.476794	12.440650	10.655462	10.623609	-7.865130	-7.901275	-0.403789	-0.439933	-8.079929	-8.111782	
200	5.256737	5.220593	12.500923	12.464778	10.703718	10.671866	-7.889259	-7.925403	-0.645073	-0.681217	-8.417727	-8.449580	
